年度,台-加,台-上,美-那,美-道,日-經,新-海,韓-綜,倫-金,中-上,中-香
2010,8973,144,2653,11578,10229,3190,2051,5900,2808,23035
2011,7072,94,2605,12218,8455,2646,1826,5572,2199,18434
2012,7700,103,3020,13104,10395,3167,1997,5898,2269,22657
2013,8612,130,4177,16577,16291,3167,2011,6749,2116,23306
2014,9307,140,4736,17823,17451,3365,1916,6566,3235,23605
2015,8338,129,5007,17425,19034,2883,1961,6242,3539,21914
2016,9254,125,5383,19763,19114,2881,2026,7143,3104,22001
2017,10643,149,6903,24719,22765,3403,2467,7688,3307,29919
2018,9727,124,6635,23327,20015,3069,2041,6728,2494,25846
2019,11997,149,8973,28538,23657,3223,2198,7542,3050,28190
2020,14733,184,12888,30606,27444,2844,2873,6461,3473,27231
